                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1834,                 5.6275,                 2.5885,                      0,                      0,                      0,                      0,                 2.3171,                 3.6577,                 2.9694,              2.275e-05,              2.275e-05,              2.275e-05
                      2,                 2.0228,                 5.3594,                 2.6087,                      0,                      0,                      0,                      0,                  1.953,                 3.6509,                 2.9807,             4.9555e-05,             4.9555e-05,             4.9555e-05
                      3,                 1.6378,                 4.8639,                  2.253,                      0,                      0,                      0,                      0,                 1.8538,                 3.6404,                 3.5034,             7.5818e-05,             7.5818e-05,             7.5818e-05
                      4,                 1.6174,                 4.7573,                 2.2717,                      0,                      0,                      0,                      0,                 1.8215,                 3.6123,                 3.5473,             0.00010154,             0.00010154,             0.00010154
                      5,                 1.5956,                 4.5515,                 2.2081,                0.00255,                0.09091,                 0.0672,                0.01754,                 1.7462,                 3.5436,                 3.3574,             0.00012672,             0.00012672,             0.00012672
                      6,                 1.4071,                 4.1991,                  1.979,                0.00162,                0.18182,                0.05626,                0.01994,                  1.683,                 3.3112,                 3.2433,             0.00015137,             0.00015137,             0.00015137
                      7,                 1.3027,                 4.2327,                 1.9172,                0.00325,                0.36364,                0.05261,                0.01196,                 2.1963,                 3.1582,                 3.2226,             0.00017547,             0.00017547,             0.00017547
                      8,                 1.4709,                 4.2066,                 1.9915,                 0.0028,                0.36364,                 0.0781,                0.01776,                  2.619,                 3.3565,                 3.2891,             0.00019903,             0.00019903,             0.00019903
                      9,                 1.6485,                 4.3362,                 2.2302,                0.00857,                0.72727,                0.13572,                0.05486,                 2.0975,                 3.3717,                 2.9556,             0.00022205,             0.00022205,             0.00022205
                     10,                 1.2715,                 3.7936,                 1.8335,                0.01436,                0.90909,                0.24659,                0.11319,                 1.8639,                  3.101,                  2.829,             0.00024453,             0.00024453,             0.00024453
                     11,                 1.1905,                 3.6942,                  1.828,                0.01194,                0.90909,                0.29669,                0.12705,                 2.1067,                 2.8961,                 3.1534,             0.00026647,             0.00026647,             0.00026647
                     12,                 1.2253,                 3.6026,                 1.8052,                      1,                0.05141,                0.31819,                 0.1268,                 1.9984,                 2.6101,                 2.7984,             0.00028787,             0.00028787,             0.00028787
                     13,                 1.2539,                 3.4063,                  1.801,                      1,                0.09041,                0.27759,                0.14307,                 1.8654,                 2.5577,                 2.6844,             0.00030873,             0.00030873,             0.00030873
                     14,                 1.2811,                 3.3584,                 1.8392,                      1,                0.06964,                0.28797,                0.14028,                 1.9641,                 2.6014,                 2.7515,             0.00032905,             0.00032905,             0.00032905
                     15,                 1.1184,                 3.1842,                 1.6857,                      1,                0.07881,                0.30837,                0.16491,                 2.0647,                 2.5875,                 2.8318,             0.00034882,             0.00034882,             0.00034882
                     16,                 1.4644,                 3.6223,                 1.9586,                0.82369,                0.11387,                0.38712,                0.18938,                 2.1629,                 2.2908,                 3.0271,             0.00036806,             0.00036806,             0.00036806
                     17,                 1.1887,                 3.0277,                 1.7626,                0.81225,                0.09091,                0.42366,                0.19658,                 2.0823,                 2.1207,                 2.8384,             0.00038293,             0.00038293,             0.00038293
                     18,                 1.1506,                 3.0044,                 1.7596,                0.55269,                0.25732,                0.50759,                0.26442,                 2.0943,                 2.2939,                 2.8281,             0.00037842,             0.00037842,             0.00037842
                     19,                 1.3137,                 3.2079,                 1.8086,                0.51193,                 0.3924,                  0.484,                0.27416,                 2.0865,                 2.3948,                 2.8452,             0.00037392,             0.00037392,             0.00037392
                     20,                 1.2996,                  3.236,                 1.9196,                0.65643,                0.60844,                0.49969,                0.26583,                 2.2786,                 2.2828,                 2.9333,             0.00036941,             0.00036941,             0.00036941
                     21,                 1.1585,                 2.9377,                 1.7261,                0.52392,                0.59611,                0.45447,                0.21846,                  2.248,                 2.0179,                 2.8745,             0.00036491,             0.00036491,             0.00036491
                     22,                 1.1273,                 2.8601,                 1.6791,                0.68947,                0.45455,                0.51509,                0.28702,                 1.9895,                 1.8324,                 2.5906,             0.00036041,             0.00036041,             0.00036041
                     23,                  1.173,                 2.9114,                 1.7402,                0.71568,                0.62479,                0.57826,                0.32542,                 1.9271,                 1.8443,                 2.4624,              0.0003559,              0.0003559,              0.0003559
                     24,                 1.1036,                 2.8516,                 1.6737,                0.60296,                0.41113,                0.56082,                0.27628,                 1.8978,                 1.7565,                 2.4044,              0.0003514,              0.0003514,              0.0003514
                     25,                 1.0347,                 2.7401,                 1.5675,                0.66381,                0.53704,                0.52313,                0.24581,                 1.8472,                 1.8653,                 2.4935,             0.00034689,             0.00034689,             0.00034689
                     26,                 1.0829,                 2.7034,                 1.6213,                 0.5742,                0.54545,                0.55027,                0.33003,                 1.6935,                 1.9251,                 2.5227,             0.00034239,             0.00034239,             0.00034239
                     27,                 1.0287,                 2.6806,                 1.6166,                0.42713,                0.68492,                0.74248,                0.41453,                 1.6765,                 1.9198,                 2.3988,             0.00033788,             0.00033788,             0.00033788
                     28,                 1.0765,                 2.7513,                 1.6073,                0.60438,                0.63636,                 0.6068,                0.33079,                 1.6939,                 1.6752,                 2.3015,             0.00033338,             0.00033338,             0.00033338
                     29,                 1.0253,                 2.5251,                 1.6431,                0.54182,                0.52693,                0.66635,                0.35107,                  1.688,                 1.6606,                 2.2508,             0.00032887,             0.00032887,             0.00032887
                     30,                0.98773,                 2.4833,                 1.4998,                0.57628,                0.72727,                0.72364,                 0.3946,                  1.637,                 1.5237,                 2.3674,             0.00032437,             0.00032437,             0.00032437
                     31,                  1.135,                 2.6638,                 1.6769,                0.41529,                0.81047,                0.66635,                0.39744,                 1.5643,                 1.4235,                 2.3982,             0.00031986,             0.00031986,             0.00031986
                     32,                 1.0127,                  2.533,                 1.6649,                0.57925,                0.61696,                0.65375,                0.38318,                 1.6391,                 1.7593,                 2.5079,             0.00031536,             0.00031536,             0.00031536
                     33,                0.98292,                 2.4425,                 1.5655,                0.34679,                0.61446,                0.64953,                0.32617,                 1.9561,                 1.8021,                 2.7077,             0.00031086,             0.00031086,             0.00031086
                     34,                 1.0717,                 2.4731,                 1.6416,                0.42835,                0.60529,                0.60486,                0.31902,                 1.8572,                 1.7481,                 2.7214,             0.00030635,             0.00030635,             0.00030635
                     35,                 1.0572,                 2.5399,                 1.5538,                0.41296,                0.78642,                0.63447,                0.34504,                 1.6519,                 1.7249,                 2.5781,             0.00030185,             0.00030185,             0.00030185
                     36,                0.89871,                 2.2547,                 1.5147,                0.31098,                0.74337,                0.67715,                0.37036,                 1.5316,                 1.7424,                 2.5166,             0.00029734,             0.00029734,             0.00029734
                     37,                 1.0518,                 2.5122,                 1.5924,                0.34698,                0.64161,                0.65842,                0.36625,                 1.6436,                  1.738,                 2.6831,             0.00029284,             0.00029284,             0.00029284
                     38,                0.99056,                 2.2683,                 1.5551,                0.33069,                0.63636,                0.69605,                0.36852,                 1.9076,                 1.7919,                 2.9355,             0.00028833,             0.00028833,             0.00028833
                     39,                0.91446,                 2.1409,                 1.5094,                 0.4891,                0.71153,                0.71893,                0.38709,                 1.8579,                  1.741,                 3.0186,             0.00028383,             0.00028383,             0.00028383
                     40,                 0.9132,                 2.2975,                   1.54,                0.36997,                0.62624,                0.72798,                0.41532,                 1.6628,                 1.4749,                  2.934,             0.00027932,             0.00027932,             0.00027932
                     41,                0.98505,                  2.303,                 1.6041,                0.51337,                0.54545,                0.67422,                0.37465,                 1.6104,                   1.38,                 2.7693,             0.00027482,             0.00027482,             0.00027482
                     42,                  1.087,                 2.6844,                 1.5423,                 0.3593,                0.71853,                0.70655,                0.39991,                 1.5992,                 1.4612,                 2.5825,             0.00027032,             0.00027032,             0.00027032
                     43,                0.98222,                 2.2618,                 1.4713,                0.38033,                0.67633,                0.73871,                0.44735,                 1.5873,                 1.4683,                 2.5349,             0.00026581,             0.00026581,             0.00026581
                     44,                 0.8593,                 2.1742,                  1.452,                0.44301,                0.71819,                0.71267,                 0.3915,                 1.6263,                 1.3348,                 2.3767,             0.00026131,             0.00026131,             0.00026131
                     45,                0.91814,                 2.2221,                 1.4553,                0.56384,                0.79315,                0.72364,                0.37855,                 1.6879,                 1.3441,                 2.3664,              0.0002568,              0.0002568,              0.0002568
                     46,                0.88976,                 2.0585,                 1.4629,                0.65708,                0.79518,                0.72364,                0.36621,                 1.7236,                 1.3091,                 2.3094,              0.0002523,              0.0002523,              0.0002523
                     47,                0.90662,                 2.0649,                 1.4501,                0.51944,                0.85648,                0.76886,                 0.4548,                 1.6265,                 1.2699,                 2.2675,             0.00024779,             0.00024779,             0.00024779
                     48,                 0.9158,                 2.1306,                 1.5361,                0.52049,                 0.6474,                0.70856,                0.42127,                 1.4473,                 1.3077,                  2.266,             0.00024329,             0.00024329,             0.00024329
                     49,                0.87413,                 1.9232,                 1.4791,                0.61514,                0.54545,                0.68595,                0.42431,                 1.4561,                 1.4012,                 2.3623,             0.00023878,             0.00023878,             0.00023878
                     50,                0.88258,                 2.0427,                 1.4739,                0.54148,                0.58348,                0.65443,                0.42969,                 1.4853,                 1.3951,                 2.4072,             0.00023428,             0.00023428,             0.00023428
                     51,                0.89619,                 2.1195,                 1.4512,                0.48936,                0.69306,                 0.7028,                0.45018,                 1.4727,                 1.3398,                 2.3566,             0.00022978,             0.00022978,             0.00022978
                     52,                0.85405,                 1.9048,                 1.4352,                0.42394,                  0.782,                0.69348,                0.43934,                 1.5327,                 1.5826,                 2.2855,             0.00022527,             0.00022527,             0.00022527
                     53,                0.90454,                 2.0547,                 1.3681,                0.48934,                0.72727,                0.73117,                0.44548,                 1.5335,                 1.5863,                 2.2616,             0.00022077,             0.00022077,             0.00022077
                     54,                0.80828,                 2.0415,                 1.4112,                0.52165,                0.72727,                0.75379,                0.44503,                 1.5684,                 1.4588,                 2.3327,             0.00021626,             0.00021626,             0.00021626
                     55,                0.88486,                 1.9245,                 1.4081,                0.55576,                0.63636,                0.75379,                0.43633,                 1.5032,                 1.4422,                  2.292,             0.00021176,             0.00021176,             0.00021176
                     56,                0.87647,                 2.0503,                 1.4315,                0.78132,                0.45455,                0.60303,                0.36383,                 1.4525,                 1.4397,                 2.2752,             0.00020725,             0.00020725,             0.00020725
                     57,                0.95851,                 2.0774,                 1.4786,                0.68062,                0.60521,                0.66333,                0.41165,                 1.4544,                 1.4197,                 2.2975,             0.00020275,             0.00020275,             0.00020275
                     58,                0.91379,                 1.9494,                 1.4671,                0.69501,                0.62298,                0.66744,                0.40944,                  1.483,                  1.432,                 2.2769,             0.00019824,             0.00019824,             0.00019824
                     59,                0.89837,                 2.0282,                 1.5144,                0.44144,                0.63636,                0.66635,                0.42241,                 1.4971,                 1.3587,                 2.2092,             0.00019374,             0.00019374,             0.00019374
                     60,                0.82176,                 1.8482,                 1.4041,                0.87785,                0.45455,                0.69348,                 0.4165,                 1.5635,                 1.2929,                 2.2178,             0.00018923,             0.00018923,             0.00018923
                     61,                0.79701,                 1.8343,                 1.3972,                0.48004,                 0.6288,                0.70102,                0.42324,                 1.5373,                 1.2812,                 2.2028,             0.00018473,             0.00018473,             0.00018473
                     62,                 0.7631,                 1.7877,                  1.368,                0.51778,                0.59337,                0.67841,                0.42063,                 1.4889,                 1.3866,                  2.138,             0.00018023,             0.00018023,             0.00018023
                     63,                 0.9341,                 2.0323,                 1.4693,                0.50762,                0.58364,                0.67841,                0.43453,                  1.486,                 1.3868,                 2.1209,             0.00017572,             0.00017572,             0.00017572
                     64,                0.83815,                 1.8341,                 1.4091,                0.48673,                0.63636,                0.71459,                0.46706,                 1.4729,                 1.3567,                 2.1324,             0.00017122,             0.00017122,             0.00017122
                     65,                0.84933,                 1.9547,                 1.4347,                0.65883,                0.63636,                0.71394,                0.45232,                 1.4193,                 1.3371,                 2.0958,             0.00016671,             0.00016671,             0.00016671
                     66,                 0.8408,                 1.8862,                 1.3685,                  0.544,                0.63636,                0.83218,                0.52617,                 1.3792,                  1.366,                 2.0707,             0.00016221,             0.00016221,             0.00016221
                     67,                 0.8263,                 1.8391,                 1.4521,                0.49752,                0.72727,                0.77188,                0.47475,                 1.3804,                 1.3822,                 2.0831,              0.0001577,              0.0001577,              0.0001577
